,timestamp,timestamp_local,pm1,pm10,pm25
5,2022-12-24T17:21,2022-12-24T12:21,3.458,4.207,3.977
4,2022-12-24T17:22,2022-12-24T12:22,4.65,13.122,5.599
3,2022-12-24T17:23,2022-12-24T12:23,3.869,5.204,4.905
1,2022-12-24T17:24,2022-12-24T12:24,4.851,34.585,5.928
2,2022-12-24T17:24,2022-12-24T12:24,0.0,0.0,0.0
0,2022-12-24T17:25,2022-12-24T12:25,4.949,6.214,5.982
10,2022-12-29T15:41,2022-12-29T10:41,0.0,0.0,0.0
8,2022-12-29T15:43,2022-12-29T10:43,18.432,20.155,19.316
9,2022-12-29T15:43,2022-12-29T10:43,18.432,20.155,19.316
6,2022-12-29T15:44,2022-12-29T10:44,18.847,23.125,19.715
7,2022-12-29T15:44,2022-12-29T10:44,18.847,23.125,19.715
